i,j,lev,jaro,jac,dice
900,901,454,0.13876629452115974,0.391941391941392,0.24373576309794986
900,902,437,0.13150213968174834,0.45195729537366547,0.2919540229885057
900,903,450,0.13888371880655492,0.4357142857142857,0.27853881278538817
900,904,461,0.13975359078426997,0.4659498207885304,0.3037383177570093
900,905,497,0.14216980169092291,0.40569395017793597,0.2544642857142857
900,906,418,0.12795844618837504,0.4555160142348754,0.2949308755760369
900,907,409,0.12750578991813374,0.43321299638989175,0.2764976958525346
900,908,416,0.12743927336107796,0.3820224719101124,0.23611111111111116
900,909,454,0.13862718226967952,0.37453183520599254,0.2304147465437788
900,910,422,0.3239902724864564,0.5817490494296578,0.41018766756032177
900,911,416,0.2950314572014373,0.6058394160583942,0.4345549738219895
900,912,425,0.33227745705621814,0.5884615384615385,0.4168937329700273
900,913,411,0.3069814693494889,0.6366906474820144,0.4670184696569921
900,914,423,0.31843350540806303,0.6231884057971014,0.4526315789473684
900,915,421,0.3209459362407273,0.6015037593984962,0.4301075268817204
900,916,432,0.34725251622658115,0.6321428571428571,0.4621409921671018
900,917,418,0.31179864054126805,0.6029962546816479,0.43163538873994634
900,918,426,0.32481689864053764,0.6272401433691757,0.4569190600522193
900,919,421,0.31605925817160907,0.5916030534351144,0.4200542005420054
900,920,516,0.26261217237215684,0.5625,0.3913043478260869
900,921,448,0.23553296045432826,0.5347222222222222,0.36492890995260663
900,922,490,0.25670400575831775,0.5426621160409557,0.3723653395784543
900,923,466,0.22946577827252967,0.5442176870748299,0.3738317757009346
900,924,483,0.24454508601622826,0.54,0.36986301369863017
900,925,470,0.2393111226791601,0.5324232081911262,0.3627906976744186
900,926,515,0.2579015649499593,0.5377049180327869,0.3677130044843049
900,927,505,0.26117175334488785,0.5709677419354839,0.399548532731377
900,928,472,0.24755121118167134,0.5138888888888888,0.3457943925233645
900,929,457,0.23822187378464055,0.5331125827814569,0.363431151241535
900,930,420,0.30534772747248395,0.6,0.4285714285714286
900,931,423,0.3146436792577304,0.5925925925925926,0.42105263157894735
900,932,425,0.3259741500653278,0.6240601503759399,0.45355191256830596
900,933,419,0.3197229851458633,0.6240601503759399,0.45355191256830596
900,934,415,0.3163891715795627,0.596078431372549,0.4245810055865922
900,935,425,0.3247263548564785,0.6147859922178989,0.4438202247191011
900,936,418,0.3202172635258106,0.5703125,0.3989071038251366
900,937,421,0.3182030575419693,0.6098484848484849,0.4386920980926431
900,938,417,0.3204762084835342,0.6441947565543071,0.47513812154696133
900,939,434,0.3568846040325665,0.6254980079681275,0.45507246376811594
900,940,428,0.3280927931760017,0.6404494382022472,0.47107438016528924
900,941,423,0.3367858716303388,0.6492537313432836,0.48066298342541436
900,942,412,0.30551288751878714,0.6139705882352942,0.44297082228116713
900,943,416,0.30764969997038316,0.620817843866171,0.45013477088948783
900,944,422,0.31144512240948463,0.5913978494623655,0.41984732824427484
900,945,428,0.32812640492012335,0.6273764258555132,0.4570637119113573
900,946,420,0.29848403749167385,0.6151079136690647,0.4441558441558442
900,947,425,0.2946468487495161,0.6,0.4285714285714286
900,948,414,0.2907675824445768,0.6308243727598566,0.46073298429319376
900,949,417,0.29490163559310645,0.6099290780141844,0.4387755102040817
900,950,440,0.36840367731431145,0.6600790513833992,0.4926253687315634
900,951,435,0.3548492682208163,0.6171875,0.4463276836158192
900,952,413,0.32695699139362644,0.6108949416342413,0.43977591036414565
900,953,429,0.3434756231693443,0.6169354838709677,0.4460641399416909
900,954,432,0.36065526581886076,0.606425702811245,0.43515850144092216
900,955,426,0.3419995418951839,0.6245059288537549,0.45402298850574707
900,956,443,0.37251228478352083,0.6558704453441295,0.4879518072289156
900,957,413,0.3058095682979637,0.6231884057971014,0.4526315789473684
900,958,433,0.34714520288246553,0.6299212598425197,0.45977011494252873
900,959,435,0.3557248061672841,0.649402390438247,0.4808259587020649
900,960,658,0.30052719238908443,0.5,0.33333333333333337
900,961,657,0.30496471134154735,0.4965753424657534,0.33029612756264237
900,962,653,0.30769721635012737,0.5081967213114754,0.34065934065934067
900,963,644,0.30089492435704834,0.5197368421052632,0.35111111111111115
900,964,631,0.3057262833316271,0.5214521452145214,0.3526785714285714
900,965,603,0.29628204220071164,0.5296052631578947,0.36017897091722595
900,966,629,0.29527563279503166,0.5227272727272727,0.3538461538461538
900,967,639,0.29531142255548526,0.5227272727272727,0.3538461538461538
900,968,609,0.28956225083717746,0.5197368421052632,0.35111111111111115
900,969,659,0.31053420162319767,0.5436893203883495,0.3733333333333333
900,970,699,0.31305951878357463,0.5290519877675841,0.35966735966735963
900,971,657,0.3085498553684469,0.5080385852090032,0.3405172413793104
900,972,654,0.29937518355027326,0.5365853658536586,0.3666666666666667
900,973,698,0.3102833298507469,0.4984326018808778,0.33194154488517746
900,974,591,0.28616543642349734,0.5048543689320388,0.33766233766233766
900,975,647,0.30750687658728404,0.5384615384615384,0.368421052631579
900,976,668,0.30613412566086673,0.5159235668789809,0.3476394849785408
900,977,621,0.29215253968522725,0.5275080906148868,0.3582417582417582
900,978,675,0.3045766232987094,0.5016077170418006,0.33476394849785407
900,979,636,0.2913350869704604,0.528125,0.3588110403397028
900,980,420,0.3167890732042723,0.633587786259542,0.46368715083798884
900,981,413,0.310611268352352,0.6269230769230769,0.45658263305322133
900,982,433,0.35142184380142694,0.6023622047244095,0.4309859154929577
900,983,414,0.3202381289870214,0.6254826254826256,0.4550561797752809
900,984,434,0.351502716167435,0.610236220472441,0.43909348441926344
900,985,415,0.3053701782056014,0.5767790262172285,0.4052631578947369
900,986,422,0.3215758111462126,0.6217228464419475,0.45108695652173914
900,987,426,0.3413791839140413,0.6492537313432836,0.48066298342541436
900,988,436,0.36735524690994137,0.628,0.4577259475218659
900,989,428,0.3524715884387186,0.623015873015873,0.452449567723343
900,990,323,0.12702366723462716,0.34523809523809523,0.2086330935251799
900,991,420,0.1505612338997312,0.4963503649635036,0.33009708737864074
900,992,400,0.12501785204195778,0.4269662921348315,0.27142857142857146
900,993,427,0.13443679244183065,0.42750929368029744,0.27186761229314416
900,994,452,0.1410442066728162,0.4878048780487805,0.32258064516129037
900,995,399,0.1329215167739552,0.40304182509505704,0.2523809523809524
900,996,400,0.1341495026117167,0.45620437956204385,0.29550827423167847
900,997,427,0.12814191823804266,0.45035460992907805,0.29061784897025167
900,998,413,0.12710014653170829,0.4172932330827067,0.26365795724465557
900,999,400,0.12357458938755596,0.39925373134328357,0.2494172494172494
900,1000,441,0.2269642259069461,0.5328467153284672,0.36318407960199006
900,1001,449,0.24180157690271908,0.5109489051094891,0.3431372549019608
900,1002,439,0.23754285981698686,0.5143884892086331,0.3462469733656174
900,1003,445,0.22229695730589738,0.5416666666666667,0.37142857142857144
900,1004,457,0.23852089700107493,0.5448275862068965,0.3744075829383886
900,1005,430,0.24237513230001329,0.5490909090909091,0.3784461152882206
900,1006,434,0.24248989842414292,0.5460992907801419,0.375609756097561
900,1007,458,0.2428267053067138,0.5263157894736843,0.3571428571428571
900,1008,453,0.22870354152835792,0.4892857142857143,0.32387706855791965
900,1009,486,0.2407908426265376,0.5102040816326531,0.34246575342465757
900,1010,857,0.34620208128794683,0.49240121580547114,0.3266129032258065
900,1011,707,0.31328009242264787,0.47077922077922074,0.30785562632696395
900,1012,854,0.3417651863720995,0.46226415094339623,0.3006134969325154
900,1013,595,0.28876854809462016,0.47651006711409394,0.31277533039647576
900,1014,642,0.29071916824399213,0.47077922077922074,0.30785562632696395
900,1015,711,0.3115359232845448,0.4459016393442623,0.28691983122362874
900,1016,709,0.3153702052920817,0.46855345911949686,0.30595482546201236
900,1017,686,0.3239110325386907,0.4840764331210191,0.31932773109243695
900,1018,798,0.33289976530922516,0.46081504702194354,0.29938900203665986
900,1019,796,0.33217888104541027,0.48589341692789967,0.32091097308488614
900,1020,482,0.24208856066930873,0.5629139072847682,0.39170506912442393
900,1021,424,0.26401282801720216,0.6035087719298246,0.4321608040201005
900,1022,446,0.23617196962903575,0.5547945205479452,0.3838862559241706
900,1023,481,0.24826251574094638,0.5770491803278688,0.4055299539170507
900,1024,491,0.250122514744865,0.5652173913043479,0.3939393939393939
900,1025,460,0.25752519106021143,0.5582191780821918,0.3871733966745843
900,1026,431,0.25622764649313323,0.5729166666666667,0.4014598540145985
900,1027,436,0.25046168419877224,0.569078947368421,0.39770114942528734
900,1028,487,0.2539517910012079,0.5895765472312704,0.418013856812933
900,1029,444,0.2573020841823995,0.5373665480427046,0.36739659367396593
900,1030,475,0.24747247672884587,0.5602605863192183,0.3891402714932126
900,1031,489,0.25422484254547906,0.5460750853242321,0.3755868544600939
900,1032,495,0.2515500148973283,0.5423728813559322,0.37209302325581395
900,1033,444,0.2650763449216301,0.5631399317406143,0.3919239904988123
900,1034,501,0.2510543644008597,0.5503355704697986,0.37962962962962965
900,1035,458,0.25184279817058963,0.5457627118644068,0.37529137529137524
900,1036,482,0.24454310941411883,0.5777777777777777,0.40625
900,1037,463,0.2637657333069311,0.5567010309278351,0.3857142857142857
900,1038,455,0.23798217478320938,0.5463917525773196,0.375886524822695
